rank,county,state,fips,prospects_combined,prospects_cmu,prospects_hotchkiss,cumulative_pct
240,Kent,MI,26081,50,45,5,89.67
241,Douglas,NE,31055,49,46,3,89.71
242,Summit,UT,49043,49,28,21,89.76
243,Hanover,VA,51085,49,48,1,89.81
244,Ocean,NJ,34029,49,44,5,89.86
245,York,SC,45091,49,46,3,89.9
246,Polk,FL,12105,49,45,4,89.95
247,Falls Church (city),VA,51610,48,46,2,90.0
248,Medina,OH,39103,48,47,1,90.05
249,Ozaukee,WI,55089,4809,0,0,
250,Washington,WI,55131,3360,0,0,
251,Brown,WI,55009,2784,0,0,
252,Racine,WI,55101,2505,0,0,
253,Outagamie,WI,55087,2419,0,0,
254,McHenry,IL,17111,1979,0,0,
255,Winnebago,WI,55139,1699,0,0,
256,Kenosha,WI,55059,1673,0,0,
257,Sheboygan,WI,55117,1453,0,0,
258,Fond du Lac,WI,55039,863,0,0,
259,Marathon,WI,55073,778,0,0,
260,Manitowoc,WI,55071,775,0,0,
261,Walworth,WI,55127,736,0,0,
262,Rock,WI,55105,731,0,0,
263,Jefferson,WI,55055,609,0,0,
264,La Crosse,WI,55063,584,0,0,
265,Winnebago,IL,17201,541,0,0,
266,Jackson,MO,29095,488,0,0,
267,Dodge,WI,55027,481,0,0,
268,Door,WI,55029,451,0,0,
269,Washington,MN,27163,444,0,0,
270,Nevada,CA,06057,398,0,0,
271,St. Joseph,IN,18141,398,0,0,
272,Eau Claire,WI,55035,385,0,0,
273,Portage,WI,55097,367,0,0,
274,Oneida,WI,55085,340,0,0,
275,Wood,WI,55141,320,0,0,
